news ID,url,title,time,content
apl201706250743000,http://www.appledaily.com.tw/realtimenews/article/sports/20170625/1147502/1張圖秒懂勇士杜蘭特對「軟蛋」的反擊,1張圖秒懂勇士杜蘭特對「軟蛋」的反擊,2017/06/25 07:43,NBA新科總冠軍賽MVP勇士杜蘭特(Kevin Durant)，去年從雷霆「落跑」投效敵營勇士，被雷霆昔日搭檔威斯布克(Russell Westbrook)稱為「杯子蛋糕」，意指他是「軟蛋」，杜蘭特在奪冠後，也展開對「軟蛋」批評的反擊。杜蘭特今受邀參隊友麥基(JaVale McGee)的年度慈善壘球賽，戴著1頂杯子蛋糕的帽子，但是杯子蛋糕頂端放的不是常見的櫻桃，而是1枚亮晶晶的冠軍戒指，帶有軟歸軟，冠戒仍是不爭事實的反諷意味，讓這頂鑲上冠戒的杯子蛋糕帽子也意外成為場邊焦點。（蔡裕隆／綜合報導）【更多體育新聞訊息，請加入《蘋果運動超級吧》粉絲團】
apl201706250742000,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170625/1147500/粉絲尖叫到聲嘶力竭　阿信崩潰：你們很吵！,粉絲尖叫到聲嘶力竭　阿信崩潰：你們很吵！,2017/06/25 07:42,"昨晚金曲獎頒獎典禮，五月天阿信以《成名在望》拿下最佳作詞人獎，全場粉絲熱烈尖叫，阿信事後在臉書po文說：「不要再尖叫了，你們很吵！」五月天入圍多個獎項，大批粉絲力挺，只要看到五月天就瘋狂尖叫，頒獎人魏如萱都忍不住說：「好了，我要頒獎！」阿信發表得獎感言：「好啦，這個獎是幫你們大家拿的，現在讓你們叫5秒！如果沒拿到，我這一生墓誌銘上會寫『這傢伙，一輩子都沒拿過金曲獎最佳作詞人獎，但大家都認為他該拿』。但現在沒辦法這樣寫了，感謝陪我一起長大變老的你們，這個獎屬於你們！」台下粉絲尖叫聲連連。阿信事後在臉書po文寫下：「不要再尖叫了，你們很吵！」許多粉絲留言：「我們就是要尖叫～～～～寫了二十年，等了二十年，從年輕屁孩到中年大叔，終於得獎了！！！感動，五迷們心情也非常激動」、「恭喜主唱大人」、「我在手機面前一邊尖叫一邊掉淚，就知道最佳作詞人獎一定非你莫屬！！！」五月天以《自傳History Of Tomorrow》拿下最佳國語專輯大獎，瑪莎今天凌晨在臉書po文出頒獎前夕就已寫好的感謝信，感謝每一個為他們鼓掌的人，以及一路走來的點點滴滴。阿信今天早上分享瑪莎的感言，並再次po文寫道：「那瞬間，我真的能聽到你們的尖叫聲，溢出窗戶、馳騁網路、劃破夜空、從千門萬戶抵達我們的耳畔⋯⋯，吵死了！！！但我很喜歡很感動阿。謝謝這個世代的你們，很榮幸與你們共同寫下屬於這個世代的""自傳"" 」。（即時新聞中心／綜合報導）【小編推薦】金曲內幕！評選最佳樂團 天團五月天僅1票比昨天熱！今高溫飆36℃ 山區午後有雷陣雨14歲女兒書包有避孕藥 揪狼一天性侵2次"
apl201706250734000,http://www.appledaily.com.tw/realtimenews/article/international/20170625/1147498/富豪變魯賓遜居孤島20年　不甘寂寞徵女友,富豪變魯賓遜居孤島20年　不甘寂寞徵女友,2017/06/25 07:34,澳洲雪梨一位億萬富翁因為在股巿失意，20年前選擇到孤島隱居。長年隱世生活令他寂寞難耐，如今誠徵女友與他共渡人生，可惜暫時未有佳音。《每日郵報》、澳洲新聞網等媒體報導，格拉辛（David Glasheen）曾是礦場老闆，又藉投資房地產坐擁約2840萬澳元（約6.5億元台幣）身家。但1987年一場股災，讓他的財富蒸發近700萬澳元（約1.6億元台幣）。股巿失意讓格拉辛反思人生，到底要做到死再累積財富，抑或從此遠離金錢世界？他決定摒棄昔日揮金如土的生活，1997年搬到澳洲東北部外海的「復元島」（Restoration Island），一住就是20年。從前住豪宅，如今靠捉蟹及摘椰子過活，格拉欣說：「一旦有事情出錯，你的生命就有危險，而你是心知肚明的。荒野的生活條件嚴苛，是艱苦的世界，事情永遠會出錯，你就是要處理好……你以為打開水龍頭水就會流出來，然後開始意識到事情不是這樣的。在這裡，你要照看一切。」雖然隱世，但格拉辛未與世界脫軌，他自建了太陽能發電裝置，讓他能夠上網，並在交友網站誠徵有心人。不過目前陪伴他的，仍只有一隻狗及一個人形娃娃。格拉辛說：「在這裡我變得寂寞，我唯一希望，就是有美人魚在沙灘出現。」　（國際中心／綜合外電報導）推薦你看：美翁安葬亡子　11天後竟接到兒子來電 
apl201706250730000,http://www.appledaily.com.tw/realtimenews/article/politics/20170625/1147393/林全指一中原則消滅中華民國　學者表贊同,林全指一中原則消滅中華民國　學者表贊同,2017/06/25 07:30,《日本經濟新聞》昨刊出行政院長林全專訪，對於巴拿馬斷交事件，林全強調，對岸說台灣與巴拿馬中斷外交關係是「一中原則」的實現，那代表大陸所講的「一中原則」就是要消滅中華民國，台灣大多數老百姓不會接受。林全也強調，不應該用零和的方式來看待兩岸關係，而是應該找到一個雙方互利的平衡點；希望台灣能夠跟對岸透過更多善意的互動，讓這類完全以零和方式來思考兩岸關係的作法，能有所改變。台灣智庫諮詢委員董立文則說，中共早在2000年發表「對台政策白皮書」，就認定中華民國已經滅亡了，中共認定世界上只有一個中國，台灣是中國的一部分，中華人民共和國政府是代表全中國的唯一合法政府，所以林全講得沒有錯，也講出中共目前對台灣的作法。（政治中心／台北報導）【新聞推薦】【獨家有片】劍二飛彈墜海畫面曝光　空軍：原因調查中愾捐三千萬助齊導父母　陳文茜：郭董3分鐘內敲定 
apl201706250730001,http://www.appledaily.com.tw/realtimenews/article/local/20170625/1147474/【有片】為友慶生變調　酒後鬥毆2人傷,【有片】為友慶生變調　酒後鬥毆2人傷,2017/06/25 07:30,（新增：照片、影片）新北市新店區今日凌晨1時許，約10名男女一行人到安和路一家酒吧喝酒，為朋友慶生，酒後同行友人間有人起口角糾紛，孰料竟演變成暴力相向，2名男子手腳受傷。警方獲報民眾鬥毆事件後，迅速派出多名警力到場，同時請求救護車支援，由於受傷的2名男子拒絕送醫，且不願提告傷害，警方在確認現場狀況解除後離開。（突發中心游宗樺/台北報導）未滿18歲請勿飲酒發稿時間：0305更新時間：0731推薦新聞【起底片】中壢4死槍擊案　槍手身分曝光【有片】三重夜晚不平靜　兩男中槍送醫1死1命危
apl201706250719000,http://www.appledaily.com.tw/realtimenews/article/sports/20170625/1147499/籃網總管強調林書豪是領袖　續約仍需在商言商,籃網總管強調林書豪是領袖　續約仍需在商言商,2017/06/25 07:19,籃網總管馬克斯(Sean Marks)，昨接受ESPN電台專訪再次強調，NBA台裔之星林書豪是球隊的領袖，球團也希望他能繼續待在球隊，但NBA在商言商，不確定明年暑假林書豪若跳出合約會發生什麼事。馬克斯會被問到林書豪的情況，主要是球團在選秀會前出乎意料之外將在隊最久的羅培茲(Brook Lopez)交易至湖人，換回2015年榜眼後衛羅素(D’Angelo Russell)，讓人對林書豪在籃網的地位與未來感到不確定性。馬克斯非常肯定林書豪的苦練精神，他說：「林書豪絕對是球隊領袖，他的苦練態度太敬業了，每天都在鞭策自己，他的努力會讓隊上年輕球員讚嘆，成為他們的學習榜樣。」但是提到林書豪明年暑假可能跳出合約，馬克斯林書豪當然是我們想續約的對象，這是我們去年簽他的主因，但是NBA在商言商，任何人都可能發生任何事，我想大家都很清楚這一點。（蔡裕隆／綜合報導）【更多體育新聞訊息，請加入《蘋果運動超級吧》粉絲團】
apl201706250717000,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170625/1147497/金曲內幕！評選最佳樂團　天團五月天僅1票,金曲內幕！評選最佳樂團　天團五月天僅1票,2017/06/25 07:17,獨立新團「草東沒有派對」狠踹五月天、周杰倫拿下3獎，與桑布伊、秦四風並列為第28屆金曲獎金曲大贏家。今日出版的《自由時報》報導，在最佳樂團競爭中，20張評審票中，以超高票數19票壓倒性勝利，「草東」擊敗天團五月天；年度歌曲獎項目中，「草東」的《大風吹》在第一輪投票也以18票高票數PK掉周杰倫的《告白氣球》。​（即時新聞中心／綜合報導）
apl201706250709000,http://www.appledaily.com.tw/realtimenews/article/local/20170625/1147478/【有片】三重夜晚不平靜　兩男中槍送醫1死1命危,【有片】三重夜晚不平靜　兩男中槍送醫1死1命危,2017/06/25 07:09,(新增：照片、影片)新北市三重區重新路2段上，凌晨近3時許，兩名男子遭到不明人士持刀開槍襲擊，其中一名男子在受傷後，疑似由朋友開車送往醫院，另一名男子倒臥路旁，被路人發現報案送醫，警方接獲報案趕到現場，立即圍上封鎖線，調閱附近監視器查緝兇嫌逃往何處。不幸的是其中一名男子由救護車送醫後，於清晨5時許宣告不治。警方表示，這起槍擊事件，嫌犯疑似有3人以上，受傷的24歲李姓及35歲的羅姓男子，疑似遭到人埋伏襲擊，兩人身上都有刀傷及槍傷，獲報到場時，現場留有數枚彈殼，還有刀械跟信號彈，只剩下李姓男子倒臥路旁，救護人員到場時已無生命跡象，送往醫院後仍急救不治，至於另一名羅姓男子，疑似是由友人開車送往醫院救治，運送的轎車就停在醫院外面，轎車明顯有撞擊痕跡，目前羅男還在急救中，轄區警方已經調閱附近監視器畫面，勢必要將兇嫌緝捕歸案，至於襲擊的原因為何，還有待調查釐清。(突發中心游宗樺/新北報導)推薦新聞【起底片】中壢4死槍擊案　槍手身分曝光發稿時間0354更新時間0709
apl201706250705000,http://www.appledaily.com.tw/realtimenews/article/life/20170625/1147496/搔嬰兒腳底害他長大怕高？　醫師這樣說,搔嬰兒腳底害他長大怕高？　醫師這樣說,2017/06/25 07:05,坊間流傳不能搔癢嬰兒的腳底，否則孩子長大會怕過橋。專家表示，目前並沒有證據顯示，搔癢與懼高症有關。今日出版的《自由時報》報導，三軍總醫院婦產科主治醫師劉勇良指出，醫學證據顯示，懼高症成因可能與基因、焦慮人格特質、生活壓力、神經傳導有關。沒有證據顯示與嬰兒時期搔腳有關，而在檢測新生兒健康的項目中，甚至會透過搔癢腳底，測試嬰兒神經自然反應。（即時新聞中心／綜合報導）【小編推薦】比昨天熱！今高溫飆36℃ 山區午後有雷陣雨14歲女兒書包有避孕藥 揪狼一天性侵2次
apl201706250700000,http://www.appledaily.com.tw/realtimenews/article/local/20170625/1145245/熱心男通報命案　竟遭高市警局官網洩個資,熱心男通報命案　竟遭高市警局官網洩個資,2017/06/25 07:00,"讀者馬先生向《蘋果》投訴，他去年發現一宗命案，向警方報案，不料朋友本月22日無意間瀏覽高雄市警局全球資訊網，卻發現馬先生的名字、出生年月日、身分證字號、手機號碼，都被完整公佈，馬先生錯愕之餘，立刻連上高雄市警局全球資訊網，發現眾多報案人被公布詳細個資，馬先生感嘆：「對當時的熱心感到後悔！」警方坦承是資訊室承辦人員疏忽，將開會討論行政懲處。馬先生表示，他住台北市，去年聞到屍臭味，發現鄰居已死亡一陣子，立刻向警方報案，當晚到派出所製作筆錄至凌晨3點，隔天臨時接到通知, 還特地請假配合檢察官的要求，返回現場製作筆錄、協助調查。馬先生說，他原本對檢警抱持高度信任，不料22日有朋友無意間在高雄市警局全球資訊網，發現馬先生的詳細個資，包括姓名、身份證字號、出生年月日、聯絡電話，都被完整公佈在高雄市警局公開網站上面, 他隨後立即連上該網站,發現被公佈詳細個資的報案人眾多, 「有些有被公佈身份，有些則沒有，也無法推知其拿捏的標準為何！」《蘋果》接獲馬先生投訴後，立刻連上高雄市警局全球資訊網，果真在「公告專區」發現多個無名屍公告，裏頭的PDF檔案「身分不明系統-資料報表」中，就將報案人的姓名、身分證字號、連絡電話等資訊全都完整揭露。但目前警方已將相關檔案刪除。負責管理高雄市警局全球資訊網的高雄市警局資訊室主任李德智表示，無名屍公告是開放給刑大司法組，由承辦人將相關資訊上傳到高雄市警局全球資訊網，22日才發現有洩露報案人個資的問題，晚間先下架公告，將報案人個資適當隱匿後，再重新上傳，日後也會加強審核，杜絕報案人的個資外洩。（王勇超／高雄報導）【小編推薦，大家都在看】她生兩胎被嫌做愛無感　肥脂挪陰道重拾性福網授防假援交4招　警方說話了夏日賞花秘境　台中王家荷花田綻放首度網路直播　小琉球海龜產卵大公開"
