content,news ID,time,title,url,﻿news ID
"行政院會今（11）日舉行臨時院會，通過前瞻基礎建設特別預算第1期，2017年9月到2018年12月，總共編列了新台幣1,089億元，其中以城鄉建設拿到最多預算。特別預算全數以舉借債務支應，後續將送立法院審議。不過行政院趕出來的預算編列條目，立委卻不領情。時代力量就批評，預算項目空洞，行政院有必要這麼趕嗎？行政院第1期特別預算案編列，比原計畫（1,125 億）元少了36億。增列少子化、食安與人才培育3個項目，預算與建設由多到少分別為：其中城鄉建設減少最多，少了87億，數位建設減少25億， 但綠能建設增加11億元，而後來增加的少子化、食安、人才培育3項，共增加了65億元。城鄉建設拿到這期最多的預算354億，將花在10項子計畫。 行政院表示，預算最多為城鄉建設，是因為城鄉建設下分10項子計畫，涵蓋面較廣， 屬競爭型計畫性質，由各縣市提案， 並訂有評選機制，非獨厚個別城市。不過中時報導， 國民黨團副書記長曾銘宗指出，城鄉建設完全不符合《預算法83條》對於特別預算的規定，不屬於國防緊急設施或戰爭、國家經濟重大變故、重大災變等任一項；且其中提到要蓋停車場，這根本只要BOT給民間就可以處理了，怎麼會用特別預算去蓋？Photo Credit: 行政院提供而單就各縣市這次斬獲程度來看，以行政院公告的《前瞻基礎建設計畫第1期特別預算案》中提供有特別標示所在縣市名稱的個案計畫金額估算，南投縣以烏溪烏嘴潭人工湖工程計畫的76億元居冠，亞軍是花東兩縣軌道建設加總的54.94億，季軍則是拿下5成綠能建設預算的台中市（43.97億）。而爭議性最大的軌道建設，在行政院原規劃的8年8,824億元前瞻建設中，軌道建設金額最多，有4,241億元。立法院5日將預算上限調到4,200億元後，軌道建設第一期的特別預算砍到170億元，在第一期的計畫中，不是預算最多的項目。行政院發言人徐國勇表示，主要是因軌道建設多數是新興計畫，需要規劃或可行性評估，初期預算金額不多。自由報導， 軌道建設37項計畫中，有3項是全國性計畫，包括台鐵電務智慧化、票務系統整合，以及軌道技術研究暨驗證中心，總共18.59億元，其餘的152.1億元則分給各縣市的34項建設。綜合蘋果與聯合報導，根據軌道建設預算分配，花東獲54.94億元居冠，台南市29.95億元居次，新北市位居第三，共編列21.4億元，屏東縣則分配到17.19億元，排名第四。不過，台東縣政府表示，經費多主要是包含花東鐵路雙軌及電氣化、南迴鐵路電氣化，都是既有計畫，甚至已在執行中，並未見到真正對台東有「前瞻效益」的項目。 花蓮縣長傅崐萁也說，花東鐵路雙軌電氣化是2009年至今的延續性計畫，原本就該用年度公務預算執行，怎可列入前瞻計畫？新北市府發言人張其強表示，相關建設都是正在施工，甚至明年就要完工的路線，中央「沒有多給新北市一塊錢」。聯合報導，新北捷運工程局副局長李政安說，新北市分到的預算，將用在捷運三鶯線、淡海輕軌及安坑輕軌，但這三項工程都已動工，中央每年都在一般預算中編列補助，現移到前瞻只是「左口袋換右口袋」。中央社報導，屏東雖有五項計畫列入前瞻，得到的預算項目最多，但屏東縣政府發言人黃建嘉表示， 高雄左營站轉乘屏東服務優化案（也就是台鐵捷運化）與恆春觀光鐵道計畫（過去是環島鐵路計畫），都是在前瞻前就已提出，並非新計畫。自由報導，被批評是舊瓶裝新酒，交通部長賀陳旦表示，「用特別預算其實代表行政院的決心，來幫助地方工程專注持續建設完畢。」  政府現在用特別預算，是保障後續年度都會來執行這些預算，而不會變成年度預算有其不確定。而行政院長林全也在晚間上網路節目時表示，「如果連回顧都不成，談什麼前瞻」，打基礎也是前瞻，只要能把國家建設提前執行的，盡量提前執行。風傳媒報導，行政院發言人徐國勇表示，《前瞻基礎建設特別條例》7日經總統府公告施行後，行政院為了趕製特別預算利用上週末連續加班，11日早上院會核定第一期特別預算後，在下午3點將100本左右特別預算送到立法院。然而，時代力量立委黃國昌批評說，要在非常短時間內完成第一期的計畫具體內容、預算編列，「實在是草率、匆促」，看到的只有大項目和數字，內容是什麼完全不知道。時代力量黨團總召徐永明也說，前瞻計畫內容從5項增加到8項，行政院應該好好檢討、重擬，讓時程放慢，有更多時間來檢討預算、計畫內容，「有必要這麼趕嗎？」   親民黨立法院黨團幹事長陳怡潔表示，前瞻計畫的預算編列，在軌道建設上都沒有刪到，在少子化與食安則編的不足，所以親民黨團是主張整個計畫與預算退回重編。民進黨立法院黨團總召柯建銘等人，則提請召開立法院第3會期第2次臨時會，預計從13日召開到21日，繼續審議前瞻基礎建設計畫第一期特別預算案。延伸閱讀：核稿編輯：楊之瑜",,2017/7/12 0:00, 前瞻第一期特別預算出爐！城鄉建設拿3成多，在野黨批評：蓋停車場為何需要特別預算？ ,https://www.thenewslens.com/article/73198,tnl201707120000000
看準暑假萌經濟，業者紛紛祭出期間限定卡通快閃店鋪，征服所有大小朋友的心。搭上《神偷奶爸3》上映熱潮，如果覺得光看電影不過癮，即日起至8月31日可以到誠品信義神偷奶爸夏日限定店找小小兵們玩耍，更有T恤、雨傘、玩偶等多款獨家授權商品，讓你一次買個夠。CITYLINK 南港店暑假，特別將櫻桃小丸子從卡通帶進現實生活中，期間更推出小丸子限量商品滿額贈活動，不管是同學們一起遊玩的鳥居神社、花輪的豪華跑車、友藏爺爺心的俳句、以及櫻桃小丸子的十二星座等 都在大門口誠摯歡迎您到來。風靡日本千萬粉絲，擁有超高人氣的嚕嚕米主題餐廳，在粉絲們引頸期盼下7月7日在台北東區盛大開幕，餐廳提供多項別緻美味的主題餐點，更附設周邊商品專賣店和台灣獨賣限量商品區，讓喜愛嚕嚕米的粉絲們一次滿足所有心願。頑食概念餐飲為台灣首家不斷與各國肖像品牌合作，以一季為周期更換主題的餐廳，本季為搭配飛天小女警特展檔期，將於7月14日在誠品信義店開設限定餐廳，讓飛天小女警變身精饌。除了飛天小女警，頑食預計於本月底將跟台灣知名圖文創作品牌掰掰啾啾和日本肖像品牌懶得鳥你合作，讓你一次體驗兩個主題帶來的逗趣驚艷。(賴姿穎/台北報導)圖片/品牌提供想看更多蘋果副刊流行及美容資訊，快加臉書社團「蘋果花愛漂亮」其他推薦［傲嬌片］荔枝今年貴鬆鬆　有這個洞千萬不要買［消暑片］日本寫真DVD熱銷榜　超胸國中生最犯規【台灣之光片】這動作這聲音恐失傳 看見台灣珍貴刻字工藝,,2017/7/12 0:04,​​【玩樂片】暑假五大最萌打卡點,http://www.appledaily.com.tw/realtimenews/article/strange/20170712/1158921/​​【玩樂片】暑假五大最萌打卡點,apl201707120004001
植劇場《花甲男孩轉大人》上周完結，除了男主角盧廣仲，劇中飾演「花甲」老爸的蔡振南，也因此劇翻紅。戲裡蔡振南是離婚、坐過牢的魯蛇，戲外他有個交往20多年的同居女友、2年前才結為夫妻。這位身兼她經紀人、司機的蔡太太，在鏡頭前首次曝光，她一度想否認兩人關係，卻被本刊直擊從蔡家出門買菜再返家，試問有哪個經紀人要包吃包住包煮還包睡？蔡振南今年六十二歲，他和盧廣仲合演的《花甲》口碑、收視雙贏，劇中父子互譙「沒懶葩」的對罵戲，引起熱烈討論；上月他接受本刊專訪，被問到另一半很有懶葩地說：「她一直以來都沒有要求結婚，兩年前我六十歲，我說『我們結婚吧』，然後就去辦登記。我不浪漫，但我應給她一個保障，這就是我的肩膀。」他說這些話時，「經紀人」鳳姐全程在他旁邊。擔心喝醉  上前關心六月二十三日晚間，本刊直擊蔡振南與鳳姐和一個二十多歲的清秀妹出門，到台北市光復南路的「豬跳舞小餐館」，與一群穿著《花甲》字樣T恤的朋友吃飯，看來像是收視開紅盤的劇組慶功宴。他對清秀妹呵護備至，在停車場下車時，一見有來車，便貼心摟著她的腰往一旁靠，等鳳姐停好車，三人便進餐廳用餐，原來她是他的甥孫女。  酒酣耳熱後，他走出店外抽菸，有人見他紅著臉便上前關心，他先解釋：「我喝酒容易臉紅啦！」隨後鳳姐也上前問他：「有喝醉對不對？」他連忙說：「沒有、沒有。」接著又走回店裡繼續吃喝。直到午夜才由鳳姐開車離去，車上還多了位年約三十歲的女生，是蔡與前妻所生的女兒，四人一起回到中和住處。兼任司機  還幫買菜記者觀察，鳳姐是蔡振南的經紀人兼司機，六月十五日，他與盧廣仲到「國師」唐綺陽的直播室作客，鳳姐一路相隨，通告結束後，也是由她開車載他返家，兩人的生活與工作密不可分，她的角色，更似蔡振南的賢內助。本刊六月二十六日向鳳姐詢問蔡振南婚姻狀況，她瞭若指掌，記者說「有人覺得妳是他太太」，她只笑笑說「沒有」。七月二日中午，本刊再次直擊，鳳姐獨自駕著同一台車從中和蔡家駛出，直奔景美萬隆市場，停好車、獨步入市場時還頻頻往後面看，似乎在留意有沒有被跟拍。她先跟魚產攤販老闆娘閒話家常，接著熟門熟路一攤逛過一攤，買了青菜、豬肉、水果、包子，過程中不免要和攤商來回殺價，約莫半小時後雙手大包小包，買足看似一家子吃的份量，又驅車回蔡振南中和住處。求證太座  笑不否認兩人關係實在令人費疑猜，於是本刊再次致電問她：「妳應該是他現任太太吧？」她愣了三秒反問「你是哪裡聽來的消息」，沒有承認也沒否認。接著她開始詢問本刊如何進行偷拍，當記者對兩人婚姻表示祝福，她也只是傻笑出聲：「你這樣我也不知道怎麼回你」、「你要問我工作上的事我都可以回答，除了這個不要問」。態度客氣，卻依舊沒否認。 事後，她請植劇場宣傳致電記者，表示她只是經紀人，不希望被刊登照片，以免影響專業和生活，但始終沒有否認她是他老婆的身份。之後記者再打電話給她，她已不接聽。蔡振南接受本刊專訪時，自認對老婆不浪漫但有肩膀：「一個男人該硬的硬、該軟要軟。腰夠軟，才能富貴永久；肩膀夠硬有擔當，人家才景仰。」他說老婆「非常愛我，我收工回家，都跟她聊天聊一個鐘頭，然後一起睡覺」。曾經潦倒  連鬼都怕他讚老婆很乖：「她跟我在一起時，我很潦倒，鬼看到我都怕，她一直照顧我，跟我熬過我很多痛苦，走過好多風雨，我們二十幾年沒吵過架。」他說的「痛苦」，包括年輕時生活漂泊，不正常飲食作息罹患肝病、糖尿病，以及因大腸腫瘤開刀，還有當年吸毒入獄的黑歷史。相較於聊老婆的大方，一說到和他交往九年的「蔡秋鳳」三個字，就像踩到蔡振南的地雷區。當年他捧紅她，最後分手不歡而散，至今她仍是他的禁忌；兩人當初為何分手？他戒慎恐懼：「這個不談。」萬年舊情  暗諷炒作諸多媒體報導，兩人分手時，她到美國療傷一年、甚至自殘，而她自己也說這段感情讓她「曾痛苦到不想張開眼睛」，過去在她口中宛如她的歌聲一樣悲情，讓他長年背負負心漢形象。對此他說：「她要講什麼，我不予置評。感情這種東西，沒有好跟壞，不然怎麼可以交往九年？」但他質疑她講的時間點，「都是出唱片的時候，我也不想回應；她出唱片講這些，平常為什麼不講？每出一張講一次？講到最後記者說『你沒哏了嗎』？」聽得出他內心仍有不甘。若人生重來，會再考慮與她交往？他一臉為難：「啊？我不去想這問題，如果個性一樣，不敢啦。」撰文：娛樂組 攝影：攝影組 設計：美術組,,2017/7/12 6:17,​【壹週刊】分飾經紀人與駕駛　蔡振南神秘妻曝光,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170712/1159070/​【壹週刊】分飾經紀人與駕駛　蔡振南神秘妻曝光,apl201707120617001
Johan Lindeberg於去年重回自創的同名品牌J.Lindeberg擔任創意顧問一職，除了重新建立品牌的創意哲學與活力十足的創作思維之外，將透過更全面而完整的定位引領品牌走向更摩登當代的全新視野。Johan Lindeberg出生於瑞典南部一個名為隆德(Lund)的城市，年輕時即展現出前瞻性的創業思維，與挑戰既定成俗的勇氣。Lindeberg於80年代進入瑞典知名的哥德堡商業經濟學院就讀，在這段期間，他很快地了解到自己的夢想並非僅在為企業創造獲利，相反地更熱衷於創意與執行工作，並於1990年進入Diesel擔任全球行銷總監一職。於Diesel任職的期間，Lindeberg以一系列原創且具突破性的形象大片獲得國際時尚的高度肯定，由他主導拍攝的創新形象廣告更在時尚史上留下難以超越的紀錄。在Diesel服務近20年後，Lindeberg決定要完成他畢生的夢想，創立一個同時兼顧高爾夫與時尚穿搭的全新概念品牌──J.Lindeberg。(賴姿穎/台北報導)圖片/品牌提供想看更多蘋果副刊流行及美容資訊，快加臉書社團「蘋果花愛漂亮」其他推薦［傲嬌片］荔枝今年貴鬆鬆 有這個洞千萬別買［有片］日本寫真DVD榜 超胸國中生最犯規［玩樂片］暑假五大最萌打卡點【台灣之光片】這動作這聲音恐失傳 看見台灣珍貴刻字工藝 ,,2017/7/12 0:36,​【愛飛遜】他竟強勢回歸?! ,http://www.appledaily.com.tw/realtimenews/article/strange/20170712/1159022/​【愛飛遜】他竟強勢回歸?!,apl201707120036000
7月12日(三)　全球重要經濟數據預覽國家經濟數據台北時間預估值前期值解讀南韓6月失業率07:003.7%3.6%空日本6月PPI年增率07:502%2.1%空馬來西亞5月工業生產年增率12:004.1%4.2%空新加坡5月零售銷售年增率13:002.2%2.6%空英國5月ILO失業率(3個月)16:304.6%4.6%持平歐元區5月工業生產月增率17:001%0.5%多印度5月工業生產年增率20:001.7%3.1%空加拿大央行基準利率決策22:000.75%0.5%空資料來源：彭博,,2017/7/12 0:01,​7月12日(三)　全球重要經濟數據預覽,http://www.appledaily.com.tw/realtimenews/article/finance/20170712/1159091/​7月12日(三)　全球重要經濟數據預覽,apl201707120001002
英年早逝的舞蹈家羅曼菲逝世11年，但她優美的舞姿卻永存於世人心中。導演陳懷恩耗時3年，拍攝羅曼菲紀錄片《曼菲》於今（11）晚在台北中山堂首映，現場觀眾滿座，包括舞蹈家林懷民、何曉玫、鄭宗龍等人也都出席，共同懷念心中永遠想念的羅曼菲。影畢不少觀眾感動落淚，沒有如雷掌聲，但眾人卻久久沒有離席，沉浸在思念羅曼菲的狀態裡。林懷民表示，對於羅曼菲，他一直都非常想念，「羅曼菲是天生的舞者，她就是舞者的模樣，到現在我都還可以清楚記得她的身型，身高162公分，手長56公分，腿長102公分，體重只有48公斤，因為有羅曼菲，台灣有更多人知道現代舞的模樣，她的舞蹈是和社會有聯結的。」國家文藝獎得主何曉玫是羅曼菲的學生、學妹和合作夥伴，她表示記憶中的羅曼菲，永遠都是那麼才華洋溢，美麗又隨和，和眾人打成一片，「當學生時，她會跟我們一起搭肩膀聊天、穿一樣的練功褲，到紐約讀書時我變成她的學妹，她帶我去買掃把、打點生活用品，回到台灣後她是舞蹈系的系主任，找我去系上編舞。她也曾是我的舞者，非常誠懇地跳著我編的舞，完全沒有架子。」雲門2藝術總監鄭宗龍也是羅曼菲的學生，他表示羅曼菲是他從事創作和編舞工作的貴人，「她在我還沒有任何編舞經驗前，就給我編舞的機會，還教我編舞的技巧，在她人生最後階段，我跟她說我舞編不出來，簡直一蹋糊塗，不知道該怎麼辦，但是她卻握住我的手，用最後的力氣告訴我：沒關係，我給你力量，我給你力量。她就是這樣子的人，時時刻刻都願意給人溫暖和鼓勵。」《曼菲》紀錄片透過羅曼菲的親人、友人、學生的記憶和談話，建構羅曼菲的一生，其中包括多位舞蹈家如林懷民、平珩、張曉雄、吳素君、古名伸、布拉瑞揚等人都出現在其中，現今中生代重要的編舞者如黃翊、鄭宗龍、周書毅、吳建緯等人也都現身談論他們記憶中的羅曼菲。陳懷恩表示，於中山堂首映，還有個冥冥中不可思議的巧合，「在片尾處，有段羅曼菲於中山堂光復廳最後看排《胭脂扣》的身影，那是羅曼菲在生命最後階段最後一次踏入劇場看排，現在這部電影首映，就在中山堂登場，感覺上也像是她在守護著我們。」(中時),,2017/7/12 0:38,《曼菲 》首映 林懷民等人出席 永懷曼菲,http://www.chinatimes.com/realtimenews/20170712000010-260405,cnt201707120038000
台北市一名蔡姓女音樂老師前年多次徹夜不歸，擔任律師的劉姓丈夫察覺可疑，翻查妻子手機赫見她竟和交響樂李姓團員互傳裸照及鹹濕對話，憤而提告求償80萬元。蔡女、李男雖否認有男女關係，蔡女更反控劉男先出軌，且會到色情按摩店消費，但台北地院認為兩人「虛擬性交」已侵害劉男配偶權，今判兩人連帶賠償30萬元。劉男指出，2015年1月間妻子多次徹夜不歸，他翻查妻子手機，赫見妻子透過Line與同校任教並隸屬同交響樂團的李男互傳裸胸、下體等私密照及鹹濕對話，其中妻子曾留言「別笑我，那天晚上獅子會拍照，你在底下偷偷逗弄我當時我真是全身發燙。」李男則回覆「哇喔！想吸、親親、抱抱」等。劉男控訴，這些對話記錄顯示妻子和李男有肉體上親密關係，他立即要求妻子不得再與李男往來，但近半年後，還是在妻子手機發現兩人私下聯繫，他為了爭搶手機，還與妻子扭打，顯示兩人婚外情以對他造成重大的精神痛苦，因此提告請求連帶賠償80萬元。蔡女辯稱2005年結婚後，同年丈夫就到北京攻讀碩士，期間丈夫與中國籍孫女爆發婚外情，隔年6月她在丈夫電腦中發現多張孫女的猥褻照，從此罹患精神疾病，2010年兒子出生後，她與丈夫就分房而睡、再無夫妻之實，之後她還發現丈夫到色情按摩店消費，而他和李男只有接吻、擁抱，沒發生性關係。李男則辯稱與蔡女只是交響樂團同事，且在同一間學校任教，彼此為臉書好友，他知道蔡女婚姻感情狀況不佳，因而對她加以關心，但兩人只有牽手、拍背等互動，沒有男女關係。法官認為，劉男出具的對話記錄顯是蔡女、李男正在進行虛擬性交，可見兩人確有超出普通友誼的關係，而蔡女出庭時也承認會與李男牽手、接吻、擁抱，就算真的沒有性行為，這樣的關係也已經逾越社會一般所能容忍的範圍，構成對劉男配偶身分權的侵害。法官強調，就算劉男如蔡女所述曾出軌孫女、去色情按摩店消費，也不能免除蔡女、李男的賠償責任，但審酌劉男擁有碩士學歷、擔任執業律師，衡量其經濟能力及精神受損情況，酌減蔡女、李男的賠償金額，今判兩人只須連帶賠償劉男30萬元。仍可上訴。（李奕緯／台北報導）【更多司法新聞，請看《蘋果陪審團》粉絲團】,,2017/7/12 0:00,「逗弄我全身發燙」　女師虛擬性交判賠30萬,http://www.appledaily.com.tw/realtimenews/article/local/20170712/1158705/「逗弄我全身發燙」　女師虛擬性交判賠30萬,apl201707120000001
搭肩假關心，結果變推倒！新加坡一名28歲的卡車司機莫哈末伊斯干達，去年結識了友人的19歲單親媽媽鄰居，卻趁著單親媽透露1歲兒子心臟疾病的憂愁時，搭肩做出關心的表現，之後卻要求做愛，被拒後直接推倒單親媽並勒頸、摑臉硬上性侵得逞。色男前天被判處16年徒刑及鞭打24下。據馬來西亞《東方日報》報導，去年8月16日上午，單親媽在樓下偶遇鄰居及鄰居友人伊斯干達，聊了一會兒後單親媽返家，不久就收到伊斯干達傳訊約見面，單親媽便到對方家中客廳閒聊，單親媽談到和前男友生了個兒子，才1歲大但患有心臟疾病，此時伊斯干達表示同情，還搭肩假裝關心。想不到才認識大約1小時的「暖男」後來竟然變臉求歡，被拒絕後更直接將單親媽推倒在地毯上，然後摀住她的嘴巴狂呼巴掌，之後勒頸逼迫，單親媽哀求饒命、替他口交，結果又被迫上床嘿咻。伊斯干達逞慾後向單親媽道歉，求對方不要報案，而單親媽脫身後在前男友幫助下，帶著全身傷痕報警。伊斯干達當晚便接到警察電話，想要逃到馬來西亞母親家中躲藏，但最終仍被逮捕，前天被判監禁16年和鞭打24下。（即時新聞中心／綜合報導）【小編推薦】機車土匪群太狂　汽油彈圍攻貨車搶糖吃 白牌紅牌街頭幹架　一個動作讓網友誇讚 有夠衰！鯨鯊海上遇屁孩　被當座騎踩著玩 ,,2017/7/12 0:08,「暖男」搭肩關心變推倒　勒頸性侵19歲單親媽,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159080/「暖男」搭肩關心變推倒　勒頸性侵19歲單親媽,apl201707120008003
曾在非洲多地犯案的「獵精黨」(Sperm Bandits)，日前再度傳出有受害者。一名39歲男性教師，前後被擄走3天，期間不斷被3名女子輪流性侵，最後被矇眼丟棄在路邊，送醫後發現男子生殖器都已做到瘀血，情況和之前多次發生的「獵精」案件如出一轍。辛巴威當地時間上周日(2日)，一名39歲的男性教師在奇通圭札(Chitungwiza)市區一處公車站牌等車時，一輛深藍色的BMW轎車突然停下，轎車的男性駕駛搖下車窗，表示可以讓他搭便車，男教師不疑有他，便坐上前座，上車後發現，轎車後座還有3名女子，起初並沒有什麼異狀，但他在喝下女子給的飲料後就失去意識。男子醒來後，發現自己被關在一間狹小的昏暗屋內，下體隱約有些疼痛，沒多久，2名女子入屋要求他與她們做愛，男子拒絕，沒想到對方竟然拿出手槍，還上膛威脅他，接著就將他的雙手綁住衣服脫光，強逼他與她們發生多次性行為。最後男子被逼喝下一杯飲料後再次昏迷，醒來時雙眼被矇，被丟棄在一座村莊旁的公路邊，時間已是2天後的4日，身上相當於台幣3500元的現金也已不翼而飛。男子被路人發現後報警送醫，醫生表示，他的生殖器嚴重瘀血，並有遭受性虐待的痕跡，身上也有多處外傷，目前狀況已穩定。警方表示，由於當地民間傳說，男性的精液可以替人帶來好運，過去已有多起男性被害人遭到性侵「取精」、變賣換現金的案例，目前此案仍在偵辦中。（於慶中／綜合外電報導）【想知道更多，一定要看】男子被獵精黨擄走　遭4女輪流性侵強取精液精價攀高　辛巴威男遭3女性侵、強取精液,,2017/7/12 0:00,「獵精黨」再現　男師慘遭多次性侵陰莖瘀血,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159100/「獵精黨」再現　男師慘遭多次性侵陰莖瘀血,apl201707120000006
日本AV女優JULIA昨來台宣傳，擁有J罩杯波霸上圍的她，接受《蘋果》專訪時透露，青春期時胸圍就比別人突出，走到哪裡都成為注目焦點。她笑說：「念高三時，同學曾問我看得到自己的肚子或制服外套上的扣子嗎？我回說看不到，當時我沒有想太多，後來長大回想起來，才意會到原來她們是在虧我的胸部大。」她還透露以前搭電車時，常被同車男生偷窺胸部，讓她很尷尬。30歲的JULIA，因有40J的傲人胸器，獲得「東洋美乳女神」封號，出道8年拍過逾200部AV。她表示以前在電車上打瞌睡，醒過來常會發現很多男性盯著她的胸部看，她因為怕熱，夏天又不想包緊緊，搭車時就會隨身帶著小毛巾遮胸，避免尷尬。她笑說胸部大有不少缺點，穿衣服也受限很多，不但無法穿小可愛或胸口太低的衣服，就連襯衫也無法穿，因為襯衫扣子會隨時繃開。她也透露自己的消暑祕方，說：「我很怕熱，每到夏天我都會把衛生紙捲起來，塞在事業線和胸部下方，避免穿胸罩太過悶熱長汗疹。」5度訪台的她，昨受訪時難得以性感美人魚造型入鏡，還自爆對游泳一竅不通，表示：「如果自己真的是美人魚，我希望可以暢遊海底的美麗風光，探索未知的世界。」她也大讚台灣男生熱情，還點名最愛吃台灣的芒果冰和滷肉飯，談到欣賞的男性類型，她坦言外型、年齡不重要，說：「與其對交往對象的年齡設限，我比較重視2人的想法、價值觀是否一樣。」JULIA今後計劃全方位發展，暫時還不考慮結婚，現階段將會努力衝刺事業存錢，希望盡快實現帶家人旅行的夢想，並嘴甜表示要台灣粉絲多多支持。（蘇威全／台北報導）【小編推薦】【獨家抓包】小禎復合「我老公」15天　阿良帶田欣遊曼谷【噴血圖多】珍奶姐妹花乳波臀浪晃死你！變態尾隨掐蜜桃屁屁 ,,2017/7/12 0:06,【200部AV】JULIA撐爆襯衫扣子　J奶塞衛生紙隨時會濕,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170712/1158787/【200部AV】JULIA撐爆襯衫扣子　J奶塞衛生紙隨時會濕,apl201707120006000
