news ID,url,title,time,content
apl201707090652000,http://www.appledaily.com.tw/realtimenews/article/sports/20170709/1157176/【更新】林子偉3支0連8場上壘中斷　紅襪0比1輸光芒,【更新】林子偉3支0連8場上壘中斷　紅襪0比1輸光芒,2017/07/09 06:52,(更新比賽過程)06:52紅襪打者今天打擊受到壓制，直到9局上才首次攻佔得點圈，但留下滿壘殘壘，終場以0比1遭到光芒完封。林子偉3打數未擊出安打，被三振1次，打擊率下降至2成86，終止連續8場上壘，不過3次守備機會都順利完成刺殺，升上大聯盟後連續13場守備無失誤。9局上，1出局後，波格茲靠四壞上壘，莫蘭擊出二壘打，紅襪全場首次攻佔得點圈，馬瑞洛(Deven Marrero)代跑。拉米瑞茲遭到三振，班尼泰迪獲故意四壞，形成滿壘，楊格擊出飛球接殺。06:288局上，紅襪1出局後，里昂靠四壞上壘，查維斯(Sam Travis)代跑，林子偉擊出右外野強勁平飛球，可惜遭到接殺。光芒換投手，柯布投7.2局退場，終結者柯勒梅(Alex Colome)提前登板，再次讓紅襪殘壘收場。比數仍是1比0。06:147局下，光芒1出局後，蘇奎擊出三壘滾地球，林子偉本季第3次守備機會，仍是輕鬆完成刺殺。史密斯擊出三壘打，狄克森(Corey Dickerson)擊出三壘界外球，林子偉衝到休息室前可惜未能接到球。波格斯隨後美技化解失分危機。06:057局上，波格斯擊出投手正面強襲球，柯布守備神乎其技，180度轉身後背面攔截，順利完成刺殺。莫蘭擊出一、二壘間滾地球，正好進入光芒佈陣當中，但二壘手米勒發生失誤，最終仍是殘壘收場。柯布先發7局無失分，僅被擊出2安打。林子偉8局上第3名打者。05:546局下，光芒2出局後，黑奇瓦瑞亞擊出三壘滾地球，林子偉傳一壘結束光芒攻勢，單場2次守備機會都順利完成刺殺。05:456局上，林子偉在0好1壞時，出棒有點猶豫，形成左外野飛球接殺。 在光芒柯布壓制下，紅襪前6局僅2安打，仍未得分。05:395局下，龍戈利亞在2出局後擊出二壘打，並趁紅襪特殊佈陣三壘無人防守，輕鬆盜上三壘。波塞洛連5局被上壘，但只在2局失1分，紅襪目前0比1。林子偉6上首名打者。05:204局下，彼德森在2出局後擊出三、游間強襲球，林子偉飛撲也無法攔截，形成一壘打。波塞洛連4局被對手上壘，僅失1分。04:573局上，林子偉在1出局後上場，首打席遭到三振。貝茲擊出一壘打，但留下殘壘，紅襪仍以0比1落後。04:452局下，小蘇薩(Steven Souza Jr.)一壘打，光芒連2局以安打開局，米勒(Brad Miller)一壘打，日前由馬林魚交易來的黑奇瓦瑞亞(Adeiny Hechavarria)擊出游擊滾地球，第一時間判決雙殺打，光芒提出挑戰後，改判打者安全上壘，1出局，一、三壘有人。彼德森(Shane Peterson)觸身球，形成滿壘。蘇奎(Jesus Sucre)擊出高飛犧牲打，光芒1比0。04:281局下，光芒開路先鋒史密斯(Mallex Smith)擊出一壘打，1出局後，龍戈利亞(Evan Longoria)擊出三壘強勁滾地球，林子偉第一時間企圖觸殺跑者，發現來不及後，選擇傳一壘仍完成刺殺。光芒1局下留下三壘殘壘。04:181局上，前天被觸擊球擊中手掌的波格茲，昨天休息1場，今天重返先發，首打席擊出三壘軟弱滾地球，靠著快腿跑出內野安打，最後留下殘壘。紅襪首局未得分。紅襪在今天凌晨4時(台灣時間)於客場出戰光芒，當家游擊手波格茲(Xander Bogaerts)重返先發，台灣小將林子偉移防三壘，繼續擔任先發第9棒，挑戰連續9場上壘，目前他出賽13場，32打數擊出10安打，另靠選球獲得7次四壞球，打擊率3成13，上壘率4成36，另有2分打點。光芒今天推出本季6勝6敗，防禦率4.01的右投柯布(Alex Cobb)先發，紅襪先發投手波塞洛(Rick Porcello)今年4勝10敗，防禦率5.01，還投不出去年美聯賽揚投手的水準。紅襪先發先發陣容如下：1棒，貝茲Mookie Betts，右外野2棒，佩卓亞Dustin Pedroia)，二壘3棒，波格茲Xander Bogaerts，游擊4棒，莫蘭Mitch Moreland，一壘5棒，拉米瑞茲Hanley Ramirez，指定打擊6棒，班尼泰迪Andrew Benintendi，中外野7棒，楊格Chris Young，左外野8棒，里昂Sandy Leon，捕手9棒，林子偉，三壘投手：波塞洛(王覺一／綜合報導)發搞時間:02:58
apl201707090643000,http://www.appledaily.com.tw/realtimenews/article/finance/20170709/1155792/大同3C黃金週　買就刮大獎,大同3C黃金週　買就刮大獎,2017/07/09 06:43,"7月大同3C迎夏最強檔開跑囉！7月7日~7月13日大同3C全台202間門市與大同購物官網e同購同步舉辦黃金週活動，限時7天！同時超值再加碼，活動期間來店消費滿額再抽黃金週刮刮卡，夠幸運刮中特獎當筆訂單由大同3C幫你買單，單筆發票最高補助18,888元。另有多樣大獎等著你來刮，包括大同55型4K智慧液晶、大同變頻雙門冰箱、大同分離式電子鍋、限定版大同寶寶黃金戰士等豐富大獎等你刮，張張有獎，要買要快！同時大同3C黃金週期間獨家大放送，凡購買國際牌日本製電冰箱或滾筒洗衣機(限日本原裝)，獨家送冷凍櫃乙台，只有在全台大同3C門市才能享此優惠，快到大同3C門市搶好康！強檔一：黃金週刮刮卡張張有獎 豐富獎項隨你刮強檔二：黃金週驚爆價商品限時搶購超划算強檔三：大同空調5大吸金招式 迎戰炎夏強檔四：超殺涼夏商品好康享不完強檔五：冰箱、洗衣機限量驚爆下殺優惠價 想買就趁現在（王郁倫／台北報導）【小編推薦】【實用片】哩程換免費機票 達人教戰快學起來【美國遊子口福片】85度C全球第1000店　排隊1小時才吃得到【逐夢片】23歲做遊艇派對　白手起家攻入頂級客層"
apl201707090638000,http://www.appledaily.com.tw/realtimenews/article/local/20170709/1157187/罰864萬可免囚　剝皮店教父疑2度棄保潛逃,罰864萬可免囚　剝皮店教父疑2度棄保潛逃,2017/07/09 06:38,「剝皮酒店」教父謝旭圳詐酒客1億7336萬多元棄保潛逃，去年返台投案遭收押，他償還詐騙所得，獲200萬交保；謝被判徒刑8年，可易科罰金864萬確定，台北地檢署執行科日前通知他繳清罰金，謝卻人間蒸發，北檢將發布通緝。今日出版的《中國時報》報導，2010年檢警破獲詐騙案，謝起訴移審獲4000萬元交保，但他棄保潛逃大陸，去年4月返台投案遭收押。謝籌7600萬償還178名被害人，加上先前扣押的犯罪所得7300多萬，及同案被告償還2000多萬。去年6月，法院裁定200萬交保。謝被判徒刑8年，易科罰金864萬確定，創下司法史上易科罰金最高紀錄。北檢日前通知謝到案繳清罰金，多次傳喚、拘提謝不到，北檢懷疑他再度棄保潛逃，向法院聲請沒收200萬保金獲准，近日將對謝發布通緝。（即時新聞中心／綜合報導）【小編推薦】今炎熱高溫飆35℃ 山區午後有雷陣雨
apl201707090635000,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170709/1156425/【壹週刊】叔叔有練過　香魚去骨這樣做,【壹週刊】叔叔有練過　香魚去骨這樣做,2017/07/09 06:35,宜蘭八甲魚場老闆黃玉明，是知名的香魚達人，不只很會養香魚，也很會吃香魚。黃玉明表示，烤好的香魚要先做全身的按摩，從背部到尾巴、側面，先以筷子輕壓，讓肉和骨頭鬆離，把尾巴折斷一小部分，再從頸部輕輕將皮挑開，以輕輕上下震動的方式，將魚骨全部取出。（撰文：邱雯敏）哪裡吃：八甲漁場地址：宜蘭縣員山鄉尚德村八甲路1-10號電話：03-9225990
apl201707090634000,http://www.appledaily.com.tw/realtimenews/article/sports/20170709/1157043/前跳高國手化身百億營業額少董　義助射箭隊梅花裝非賣品,前跳高國手化身百億營業額少董　義助射箭隊梅花裝非賣品,2017/07/09 06:34,台灣世大運射箭隊今年換新裝！主打「Hodarla」品牌的贊助商威達運動公司董事長陳鴻傑昔日曾是跳高國手，雖然轉行之初曾賠光賺到的第一桶金400多萬，但如今已經是有40多名員工、年營業額破億元新台幣的公司董事長，陳鴻傑說：「最大的成就感不是來自營業額，而是看到台灣隊穿我們的衣服上台領獎。」37歲的陳鴻傑，2005年5月泰國曼谷田徑公開賽曾經跳出2公尺20，寫下個人最佳成績，目前排名男子跳高歷年第四傑。2015年全大運時，向俊賢打破高懸13年的全大運大會男子跳高紀錄2公尺18，原紀錄保持人就是他。陳鴻傑曾代表我國參加2002年釜山亞運，2005年因試圖挑戰劉金槍全國紀錄，卻不慎嚴重扭傷，最後只好無奈退役，2008年創業，從設計自行車衣開始，因為剛好搭上單車熱潮，如今已開發出各種包括機能衣等多種客制化的產品線，同時也以實際行動支持基層運動員，贊助釘鞋給一些清寒選手，幾年下來已送出破百雙。不過畢竟隔行如隔山，創業之初陳鴻傑也交了不少學費，「因為不懂布料，又太相信布商，買到一批會褪色的布料，最後忍痛銷毀這400多萬的貨。」不經一事不長一智，從那之後陳鴻傑不斷自我進修紡織品專業知識，生意也逐步上軌道，他說：「我的心願就是成為台灣最大的客製化成衣廠，而且現在距離這心願已經很接近了。」2009年起，台灣承辦國際射箭賽的工作人員衣服，便由威達運動公司承製，今年並首度成為台灣射箭隊服裝的贊助廠商，不過朋友卻擔心他賺不到錢。陳鴻傑笑說：「我是選手出身，會想比較多，比如說原本承做一套服裝，我會想說再配個袖套，而且一付不夠要兩付，然後想說再做個束套，再加本筆記本之類的，經費沒增加，但配件愈加愈多，只要不虧錢，我總想給選手最好的。」不僅如此，今年世大運射箭隊的梅花新衣獲得不少好評，雖然有不少人上網要買，但陳鴻傑說：「這件是非賣品，我希望可以建立一個成為國手應該有的尊榮，讓他們感受到自己是與眾不同的價值感。」(詹健全／林口報導) 
apl201707090634001,http://www.appledaily.com.tw/realtimenews/article/international/20170709/1157188/白宮糗大了　誤稱習近平為「中華民國總統」,白宮糗大了　誤稱習近平為「中華民國總統」,2017/07/09 06:34,美國總統川普和中國國家主席習近平8日在G20峰會上舉行場邊會談，白宮發布川普講稿給記者，稿中將習近平稱為「中華民國總統」（PRESIDENT XI OF THE REPUBLIC OF CHINA），也就是台灣的正式英文，中國的正式英文應為「People's Republic of China」，少了一個字可是有天壤之別。白宮搞不清楚台灣和中國，恐又再度挑起北京敏感神經，川普勝選後接了台灣總統蔡英文的賀電，還稱是時候重新檢討一中政策，讓北京相當不滿，今年4月習近平訪美和川普會面，川普政府稱會堅守一中政策，安撫北京不滿情緒，8日在漢堡的2度會面，川普對習近平表示「很榮幸和你交朋友」，稱中國是很棒的貿易夥伴。這個錯誤最早是美國之音記者赫曼（Steve Herman）發現，發布在推特上。在發現錯誤後，白宮已更正。（國際中心／綜合外電報導）推薦報導：川習再會主談北韓　未提及台灣
apl201707090632000,http://www.appledaily.com.tw/realtimenews/article/sports/20170709/1157056/雷霆​吉布森紐約駕車被捕　原因超級瞎,雷霆​吉布森紐約駕車被捕　原因超級瞎  ,2017/07/09 06:32,前雷霆大前鋒吉布森(Taj Gibson)，日前才剛和灰狼簽下1紙2年總值2800萬美元(約8.6億台幣)新約，心情大好的他卻在紐約開車被捕，原因卻超級瞎，因為他竟在警察面前違規迴轉被攔下，警方發現他的駕照早就被吊銷，因此他被帶回警局居留直到凌晨4點30分才被釋放。根據美國八卦網站TMZ報導，吉布森在深夜2點45分被警方攔下，而根據紐約警方透露，吉布森被控的是加重罪，因為他屬無照駕駛，而他將於美國時間9月1日出庭。（龍柏安／綜合報導） 
apl201707090630000,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170709/1156511/【壹週刊】一招分辨　飼料含肉多不多,【壹週刊】一招分辨　飼料含肉多不多,2017/07/09 06:30,市售的寵物飼料標榜含肉量很高，吃了可讓毛小孩補充蛋白質、又頭好壯壯，但你知道每天毛小孩吃下肚的飼料，真的如包裝所稱含肉量這麼高嗎？專家教你一個小撇步，來檢驗飼料中的蛋白質到底多還少。寵物營養師金寶拔表示，狗、貓須攝取一定的蛋白質，才能維持毛髮的健康，若想測試購買的飼料蛋白質的含量多寡，可以用一招「天女散花法」來做簡單的測試。一、將飼料泡水，靜待飼料變軟且膨脹即可，但依冷熱水溫度不同，浸泡時間也不同，熱水可浸泡約30分鐘，冷水須1小時。二、將泡軟的飼料捏成團，揉成球狀。三、把成球狀的飼料往上拋，觀察落地後是否有散開，若散成一團表示該飼料的蛋白質含量可能不高，若還是維持球狀，則表示蛋白質含量較高。獸醫師楊靜宇說，若寵物蛋白質攝取過低，毛髮會變得比較粗糙，另在生長發育期的幼犬，蛋白質的需求量會比較高，若攝取不足，恐會影響發育，建議飼主們還是依需求選擇營養成分均衡的飼料餵食，較能確保寵物的健康。（撰文：徐子倫）
apl201707090630001,http://www.appledaily.com.tw/realtimenews/article/sports/20170709/1156993/選秀狀元不會投球了　皇家讓他放「心理假」,選秀狀元不會投球了　皇家讓他放「心理假」,2017/07/09 06:30,美國職棒皇家隊昨天宣布，球團2015年選秀狀元，現年20歲投手羅素(Ashe Russell)將放長假，暫時遠離球場，直到他身心狀態都準備好了，再回到球隊。身高193公分，羅素是在2015年選秀被皇家在首輪、第21順位選走，最後以簽約金219萬200美元(約6740萬台幣)條件加盟，隨後加入菜鳥聯盟出賽，共投36.1局，防禦率4.21，表現還算正常。但隔年春訓，他的投球機制走鐘，嚴重影響控球，不管如何調整，都找不回原有的手感，也間接影響到他在投手丘上的信心，整年都在延長春訓中度過，最後僅在菜鳥聯盟投2局，投出2次保送、失2分。今年春訓，羅素的狀況仍未改善，開季繼續留在春訓基地延長春訓，直到上個月大聯盟選秀後，球團找他深談，討論未來的路該怎麼走。皇家助理總經理皮柯洛(J.J. Picollo)說：「我不認為羅素過去1年半在球隊待得很開心，當看到球員有這樣的情況出現，我們當然想要給予協助，但通常到這個地步，他需要做的就是好好休息，遠離球場。」皮柯洛表示，沒有給羅素預設回到球隊報到的時間，他說：「我們不會擔心他投球的能力，只要時間對了，他準備好了，就隨時回來，但目前我們不預期他今年可以做到。」過去皇家也有幾件因為心理狀態影響場上表現的案例，最知名的就是現效力響尾蛇，賽揚獎投手葛蘭基(Zack Greinke)，他在2005年吞下大聯盟最多的17敗後，隔年罹患了「社交焦慮症」，2006年春訓到一半就暫時離開球場，直到4月再回到春訓基地報到重新調整，下半季才復出小聯盟比賽。2007年葛蘭基回大聯盟從牛棚出發，找回了投球的信心，2008年回到先發輪值，2009年更以16勝、防禦率2.16的成績，獲選美聯賽揚獎。皇家左投達菲(Danny Duffy)也是在2010年小聯盟時期出現類似的情況，短暫離開棒球場散心，隔年就升上大聯盟，目前已經是皇家隊主力先發投手。（楊逸民／綜合報導）
apl201707090630002,http://www.appledaily.com.tw/realtimenews/article/sports/20170709/1157034/【MLB報馬仔】富默、克魯伯對戰防禦率高　押大分好,【MLB報馬仔】富默、克魯伯對戰防禦率高　押大分好,2017/07/09 06:30,運彩貓分析師:Charos美國職棒大聯盟10日賽事，台灣運彩開出單場投注的場次為底特律老虎作客克里夫蘭與印第安人進行系列賽的第三戰，老虎預計由去年新人王富默(Michael Fulmer)先發，印地安人由前賽揚獎得主克魯伯(Corey Kluber)應戰。本場比賽正式開盤預計大小分為8.5，建議投注大分。分析原因如下:1.富默本季成績依然優異，至今8勝6敗防禦率3.2，是老虎輪值中表現最好的投手，甚至優於王牌維蘭德(Justin Verlander)。但要說富默最大的天敵那肯定是印地安人，去年面對同區的印地安人4場只拿下1勝2敗，4場先發只投19.1局就丟掉15分，防禦率高達 6.98。2.2014年的賽揚獎得主克魯伯的投球實力無須多言，目前7勝3敗2.85依然是頂級的水準，但面對老虎隊投起來就不是那麼得心應手，最近5次面對老虎3勝1敗但防禦率是偏高的5.22，尤其今年2場只投9.1局就失掉11分，顯示老虎打者並不畏懼面對克魯伯的投球。兩位都是陣中的王牌投手，但兩位投手過去面對對手的打擊群的壓制能力卻都低於正常水準，看好兩隊打擊群能有所發揮，推薦大分。如欲參考更多分析，請上運彩貓分析師平台http://wwincat.com/expert?mid=27
