post_id,id,name,comment
235288368941_10155771593538942,1.02E+16,Liang DL,"希望台北墨爾本能增班,這樣就能不同點進出了"
235288368941_10155740652118942,1.05E+15,Luo Jason,所以華航會飛巴黎喔
235288368941_10155736556383942,1.02E+16,Lex Antony Huang,有人知到A330改艙的消息嗎？2015年報有提
235288368941_10155736556383942,1.10E+15,黃俊芳,我22號飛北京的航班能改期嗎
235288368941_10155736556383942,2.35E+11,華航粉絲團,此非官方粉絲團喔
235288368941_10155724121253942,1.25E+15,楊廷淯,我第四名
235288368941_10155724121253942,1.51E+15,Warunee FC Wa,我的支持放在心中
235288368941_10155723620603942,1.02E+16,CK Daniel Wu,明明都是地勤，哪來空服員？？？難道航空公司都只有機師和空服員？？？
235288368941_10155723616513942,1.55E+15,金正豪,記者！
235288368941_10155723616513942,1.02E+16,Chris Shao,"747 很不好坐，777 很好坐，希望 A350 會比 777 更好"
235288368941_10155626725763942,1.02E+16,Mimi Lin,你好， 我是旅行社的領隊， 華航新改的團體更換位子系統，操作的非常不方便，必須手動建立新的位置， 不像以往用按鍵選擇即可，非常的清新明了，  可否在再改進謝謝
235288368941_10155626725763942,2.35E+11,華航粉絲團,謝謝，會反應給我們資訊部門參考
235288368941_10155618547538942,1.77E+15,陳柏勝,共掛航班
235288368941_10155600610548942,1.19E+15,Yuan  Tso,"我們是買46、47兩排親子臥艙，登機時已於座位聞到濃濃地嘔吐味，便立即向負責該區組員反應，組員回答:喔！因為這zone是親子臥艙區，大部分都是小孩，所以吐味會比較濃?(請問這是什麼回答？是我早該知道自己親子臥艙是嘔吐區的意思嗎？）於是他拿了空氣芳香劑來噴，吐味加香味交雜混合成一種古怪且噁心的味道！關門後，起飛前，孩子要繫上安全帶，結果在安全帶扣環上摸到了嘔吐物?因為字數關係無法詳述。我要貴公司向我說明及解釋：不管你們接飛再趕，清勤怎可做得如此草率？組員上機後的清潔檢查怎可如此馬虎？嘔吐物有多少病毒細菌，讓孩子徒手觸碰的責任，及十小時的飛行與嘔吐物共眠?再者，我已在未關門前即向組員反應，為何不交接地勤及時處理？導致關門後雙手一攤告訴我無能為力，在密閉空間有限資源下什麼也不能做?你們缺員，行李遺失?這些都是貴公司的問題，沒理由要旅客承擔責任，一個全滿的航班，安全帶是一個關係飛安的用具，請問，是可以因為有嘔吐物不用繫嗎？不行嘛，所以，我們只能硬著頭皮硬把嘔吐物綁在自己身上，為了你們不被民航局教官為難我真的找不到任何理由合理化這件事，請貴公?訴我你們合理的解釋！"
235288368941_10155599241483942,1.02E+16,Chin Yung Teng,"好事一樁...員工票ID00可搭日航嗎?若是不行,繼續加油..."
235288368941_10155599241483942,1.55E+15,金正豪,這就可以買華航票享受日航服務了
235288368941_10155473634813942,6.90E+14,Lego Lee,真的超有歐洲味∼下午去人潮就擠爆了∼
235288368941_10155473634813942,1.41E+15,姚韋伶,陳俊豪
235288368941_10155473634813942,1.32E+15,Jill Hsieh,呂孟翰 黃珮瑜
235288368941_10155448081998942,9.82E+14,賴香岑,嗚，我也很想要去泡一下溫泉，只不過，我真的沒辦法去啦！
